country,year,ageGroup,pct
Japan,1950,0,0.133799
Japan,1950,5,0.114942
Japan,1950,10,0.105039
Japan,1950,15,0.103214
Japan,1950,20,0.092898
Japan,1950,25,0.074077
Japan,1950,30,0.062094
Japan,1950,35,0.060707
Japan,1950,40,0.053882
Japan,1950,45,0.048164
Japan,1950,50,0.040804
Japan,1950,55,0.0332
Japan,1950,60,0.027714
Japan,1950,65,0.021387
Japan,1950,70,0.015463
Japan,1950,75,0.012616
Japan,1955,0,0.104141
Japan,1955,5,0.12386
Japan,1955,10,0.106652
Japan,1955,15,0.096911
Japan,1955,20,0.094219
Japan,1955,25,0.085066
Japan,1955,30,0.068141
Japan,1955,35,0.056771
Japan,1955,40,0.0553
Japan,1955,45,0.048818
Japan,1955,50,0.043059
Japan,1955,55,0.035898
Japan,1955,60,0.028024
Japan,1955,65,0.021982
Japan,1955,70,0.015635
Japan,1955,75,0.015522
Japan,1960,0,0.083795
Japan,1960,5,0.099751
Japan,1960,10,0.118043
Japan,1960,15,0.099741
Japan,1960,20,0.089254
Japan,1960,25,0.087816
Japan,1960,30,0.080303
Japan,1960,35,0.064238
Japan,1960,40,0.053211
Japan,1960,45,0.051449
Japan,1960,50,0.044865
Japan,1960,55,0.038908
Japan,1960,60,0.031362
Japan,1960,65,0.023168
Japan,1960,70,0.016692
Japan,1960,75,0.017405
Japan,1965,0,0.083275
Japan,1965,5,0.079967
Japan,1965,10,0.094463
Japan,1965,15,0.110386
Japan,1965,20,0.092275
Japan,1965,25,0.085268
Japan,1965,30,0.083933
Japan,1965,35,0.076094
Japan,1965,40,0.060273
Japan,1965,45,0.049558
Japan,1965,50,0.047247
Japan,1965,55,0.04061
Japan,1965,60,0.033922
Japan,1965,65,0.026012
Japan,1965,70,0.017742
Japan,1965,75,0.018975
Japan,1970,0,0.085838
Japan,1970,5,0.07904
Japan,1970,10,0.07634
Japan,1970,15,0.088519
Japan,1970,20,0.102404
Japan,1970,25,0.087381
Japan,1970,30,0.080776
Japan,1970,35,0.078953
Japan,1970,40,0.0704
Japan,1970,45,0.056178
Japan,1970,50,0.045773
Japan,1970,55,0.042389
Japan,1970,60,0.035687
Japan,1970,65,0.02859
Japan,1970,70,0.020471
Japan,1970,75,0.021262
Japan,1975,0,0.089472
Japan,1975,5,0.079789
Japan,1975,10,0.074094
Japan,1975,15,0.071179
Japan,1975,20,0.081991
Japan,1975,25,0.096512
Japan,1975,30,0.082713
Japan,1975,35,0.075439
Japan,1975,40,0.07348
Japan,1975,45,0.065647
Japan,1975,50,0.051342
Japan,1975,55,0.041352
Japan,1975,60,0.038175
Japan,1975,65,0.030703
Japan,1975,70,0.022905
Japan,1975,75,0.025206
Japan,1980,0,0.072684
Japan,1980,5,0.086479
Japan,1980,10,0.076454
Japan,1980,15,0.070734
Japan,1980,20,0.067102
Japan,1980,25,0.078119
Japan,1980,30,0.092052
Japan,1980,35,0.07868
Japan,1980,40,0.071381
Japan,1980,45,0.069086
Japan,1980,50,0.061374
Japan,1980,55,0.047656
Japan,1980,60,0.037752
Japan,1980,65,0.033749
Japan,1980,70,0.025692
Japan,1980,75,0.031006
Japan,1985,0,0.061731
Japan,1985,5,0.070882
Japan,1985,10,0.083625
Japan,1985,15,0.074049
Japan,1985,20,0.067773
Japan,1985,25,0.064723
Japan,1985,30,0.075599
Japan,1985,35,0.088659
Japan,1985,40,0.075458
Japan,1985,45,0.068123
Japan,1985,50,0.065432
Japan,1985,55,0.057631
Japan,1985,60,0.044329
Japan,1985,65,0.034237
